id|pub_date|title|site|editor|url
52437|2010-12-07|AMD Releases Three New CPUs|Hardware Central|Eric Grevstad|http://www.hardwarecentral.com/daily_news/article.php/417594
52438|2010-12-07|Zebra Technologies Unveils ZXP Series 3 Printer|Hardware Central|Eric Grevstad|http://www.hardwarecentral.com/daily_news/article.php/417592
52448|2010-12-07|Google Reveals the Details of Android OS 2.3|Enterprise Mobile Today|Michelle Megna|http://www.enterprisemobiletoday.com/daily_news/article.php/417572
52479|2010-12-06|Verizon Now Offering 4G Service for PCs|Hardware Central|Eric Grevstad|http://www.hardwarecentral.com/daily_news/article.php/417510
52523|2010-12-03|PureChoice Releases Major Update to PureTrac for Data Logging and Reporting|Database Journal|Linda Cole|http://www.databasejournal.com/daily_news/article.php/417414
52541|2010-12-03|Free Smartphones at Best Buy Through December|Enterprise Mobile Today|Michelle Megna|http://www.enterprisemobiletoday.com/daily_news/article.php/417378
52544|2010-12-03|Samsung Galaxy Tab Sales Pass 1 Million|Enterprise Mobile Today|Michelle Megna|http://www.enterprisemobiletoday.com/daily_news/article.php/417372
52545|2010-12-03|Motorola To Introduce a 4G Smartphone in Early 2011|Enterprise Mobile Today|Michelle Megna|http://www.enterprisemobiletoday.com/daily_news/article.php/417370
52590|2010-12-02|RIM Buys Swedish UI Developer to Battle Apple's IPad|Enterprise Mobile Today|Michelle Megna|http://www.enterprisemobiletoday.com/daily_news/article.php/417272
52591|2010-12-02|Android 2.1+ On Majority Of Android Mobile Devices|Enterprise Mobile Today|Michelle Megna|http://www.enterprisemobiletoday.com/daily_news/article.php/417270
52637|2010-12-01|VisionTek Killer HD 5770 Unites Video, Gaming Networking|Hardware Central|Eric Grevstad|http://www.hardwarecentral.com/daily_news/article.php/417178
52638|2010-12-01|Intel, Nvidia in Settlement Talks: Reports|Hardware Central|Eric Grevstad|http://www.hardwarecentral.com/daily_news/article.php/417176
52646|2010-12-01|Dell Venue Pro Can Now Be Pre-ordered Online|Enterprise Mobile Today|Michelle Megna|http://www.enterprisemobiletoday.com/daily_news/article.php/417160
52672|2010-11-03|Authenticating Users in Oracle Database 11g Using Proxy Authentication Methods  |DBA Support|Linda Cole|http://www.dbasupport.com/oracle/ora11g/Proxy-Authentication.shtml
52673|2010-11-10|The New and Improved Oracle Enterprise Manager  |DBA Support|Linda Cole|http://www.dbasupport.com/oracle/ora11g/New-Improved-OEM11g.shtml
52694|2010-10-06|http://www.dbasupport.com/oracle/ora11g/Performance-Interview-Questions.shtml|DBA Support|Linda Cole|http://www.dbasupport.com/oracle/ora11g/Performance-Interview-Questions.shtml
52695|2010-10-06|http://www.dbasupport.com/oracle/ora11g/Oracle-RAC-One-Node.shtml|DBA Support|Linda Cole|http://www.dbasupport.com/oracle/ora11g/Oracle-RAC-One-Node.shtml
52698|2010-10-27|http://www.dbasupport.com/oracle/ora11g/Accessing-SQLServer-from-Oracle.shtml|DBA Support|Linda Cole|http://www.dbasupport.com/oracle/ora11g/Accessing-SQLServer-from-Oracle.shtml
